name	key	image	type	effect	amount	stack	price							
빈플라스크	0	0	0	0	0	1	25							
빈병	1	1	0	0	0	1	25							
약초	2	2	0	1	1	1	75							
해독초	3	3	0	4	1	1	75							
청사과	4	4	0	1	0	1	50							
해맞이풀	5	5	0	7	1	1	200							
홍선화	6	6	0	2	0	1	200							
청선화	7	7	0	5	0	1	200							
박화	8	8	0	10	0	1	300							
금사과	9	9	0	8	1	1	500							
생명초	10	10	0	11	0	1	800							
유성화	11	11	0	12	0	1	1500							
갈색버섯	12	12	0	0	2	1	100							
점박이버섯	13	13	0	13	0	1	200							
방귀버섯	14	14	0	16	0	1	250							
저리버섯	15	15	0	17	0	1	300							
마비버섯	16	16	0	18	-1	1	400							
맹독버섯	17	17	0	14	-1	1	350							
화끈버섯	18	18	0	19	-3	1	600							
빙결버섯	19	19	0	20	-2	1	600							
폭발버섯	20	20	0	21	0	1	1000							
악마의눈	21	21	0	22	0	1	1500							
돌가루	22	22	0	0	-2	1	50							
홍옥	23	23	0	3	-1	1	900							
백옥	24	24	0	23	-1	1	900							
감람석	25	25	0	9	-2	1	900							
자수정	26	26	0	15	-2	1	900							
청옥	27	27	0	6	-1	1	900							
호박	28	28	0	27	-2	1	900							
흑수정	29	29	0	28	-2	1	900							
NullData	30	30	0	0	0	1	0							
NullData	31	31	0	0	0	1	0							
짐승의뼈	32	32	0	0	1	1	50							
짐승의두개골	33	33	0	0	1	1	50							
짐승의피	34	34	0	0	2	1	75							
짐승의가죽	35	35	0	0	1	1	50							
짐승의고기	36	36	0	0	1	1	50							
익힌짐승의고기	37	37	0	0	1	1	75							
달걀	38	38	0	25	1	1	200							
익힌달걀	39	39	0	0	1	1	75							
NullData	40	40	0	0	0	1	0							
NullData	41	41	0	0	0	1	0							
괴수의뼈	42	42	0	0	2	1	200							
괴수의두개골	43	43	0	0	2	1	200							
괴수의피	44	44	0	0	4	1	200							
괴수의가죽	45	45	0	0	2	1	200							
점액	46	46	0	26	1	1	250							
괴식물의잎	47	47	0	14	1	1	250							
NullData	48	48	0	0	0	1	0							
NullData	49	49	0	0	0	1	0							
NullData	50	50	0	0	0	1	0							
NullData	51	51	0	0	0	1	0							
마수의뼈	52	52	0	0	4	1	400							
마수의두개골	53	53	0	0	4	1	400							
마수의피	54	54	0	0	6	1	400							
마수의가죽	55	55	0	0	3	1	400							
NullData	56	56	0	0	0	1	0							
NullData	57	57	0	0	0	1	0							
NullData	58	58	0	0	0	1	0							
NullData	59	59	0	0	0	1	0							
NullData	60	60	0	0	0	1	0							
NullData	61	61	0	0	0	1	0							
녹심토	62	62	0	0	0	1	1000							
홍련토	63	63	0	0	0	1	2000							
혼돈석가루	64	64	0	0	0	1	3000							
NullData	65	65	0	0	0	1	0							
NullData	66	66	0	0	0	1	0							
NullData	67	67	0	0	0	1	0							
NullData	68	68	0	0	0	1	0							
NullData	69	69	0	0	0	1	0							
NullData	70	70	0	0	0	1	0							
NullData	71	71	0	0	0	1	0							
NullData	72	72	0	0	0	1	0							
NullData	73	73	0	0	0	1	0							
NullData	74	74	0	0	0	1	0							
NullData	75	75	0	0	0	1	0							
NullData	76	76	0	0	0	1	0							
NullData	77	77	0	0	0	1	0							
NullData	78	78	0	0	0	1	0							
NullData	79	79	0	0	0	1	0							
NullData	80	80	0	0	0	1	0							
NullData	81	81	0	0	0	1	0							
NullData	82	82	0	0	0	1	0							
NullData	83	83	0	0	0	1	0							
NullData	84	84	0	0	0	1	0							
NullData	85	85	0	0	0	1	0							
NullData	86	86	0	0	0	1	0							
NullData	87	87	0	0	0	1	0							
NullData	88	88	0	0	0	1	0							
NullData	89	89	0	0	0	1	0							
NullData	90	90	0	0	0	1	0							
NullData	91	91	0	0	0	1	0							
NullData	92	92	0	0	0	1	0							
NullData	93	93	0	0	0	1	0							
NullData	94	94	0	0	0	1	0							
NullData	95	95	0	0	0	1	0							
NullData	96	96	0	0	0	1	0							
NullData	97	97	0	0	0	1	0							
NullData	98	98	0	0	0	1	0							
NullData	99	99	0	0	0	1	0							
회복플라스크(소)	100	100	1	1	0	1	250							
